customer_id,month,revenue
1,2025-06,145.54
2,2025-06,131.3
3,2025-06,94.35
4,2025-06,91.14
5,2025-06,166.64
6,2025-06,93.32
7,2025-06,123.95
8,2025-06,92.55
9,2025-06,72.85
10,2025-06,92.05
11,2025-06,100.71
12,2025-06,110.35
13,2025-06,89.4
14,2025-06,96.47
15,2025-06,95.09
16,2025-06,70.49
17,2025-06,70.36
18,2025-06,79.62
19,2025-06,160.76
20,2025-06,154.27
21,2025-06,133.1
22,2025-06,108.26
23,2025-06,128.17
24,2025-06,140.82
25,2025-06,136.84
26,2025-06,104.68
27,2025-06,63.61
28,2025-06,98.21
29,2025-06,109.43
30,2025-06,138.8
31,2025-06,171.99
32,2025-06,152.64
33,2025-06,148.45
34,2025-06,126.0
35,2025-06,106.14
36,2025-06,103.81
37,2025-06,128.86
38,2025-06,69.18
39,2025-06,64.18
40,2025-06,166.04
41,2025-06,151.3
42,2025-06,71.76
43,2025-06,114.4
44,2025-06,119.64
45,2025-06,84.8
46,2025-06,78.52
47,2025-06,130.67
48,2025-06,178.66
49,2025-06,151.54
50,2025-06,162.67
51,2025-06,172.48
52,2025-06,71.11
53,2025-06,102.15
54,2025-06,141.8
55,2025-06,175.49
56,2025-06,146.18
57,2025-06,93.12
58,2025-06,98.04
59,2025-06,98.99
60,2025-06,110.41
61,2025-06,107.57
62,2025-06,73.76
63,2025-06,163.01
64,2025-06,110.54
65,2025-06,86.19
66,2025-06,131.42
67,2025-06,105.9
68,2025-06,68.27
69,2025-06,88.51
70,2025-06,140.97
71,2025-06,81.51
72,2025-06,115.71
73,2025-06,172.33
74,2025-06,80.9
75,2025-06,63.55
76,2025-06,82.81
77,2025-06,159.43
78,2025-06,149.26
79,2025-06,164.03
80,2025-06,148.67
81,2025-06,122.34
82,2025-06,82.25
83,2025-06,150.32
84,2025-06,170.19
85,2025-06,106.47
86,2025-06,127.45
87,2025-06,88.95
88,2025-06,150.0
89,2025-06,61.65
90,2025-06,75.05
91,2025-06,114.21
92,2025-06,130.73
93,2025-06,167.44
94,2025-06,67.81
95,2025-06,170.64
96,2025-06,129.47
97,2025-06,65.92
98,2025-06,121.87
99,2025-06,114.14
100,2025-06,155.32
101,2025-06,151.3
102,2025-06,81.15
103,2025-06,141.75
104,2025-06,141.42
105,2025-06,93.65
106,2025-06,108.19
107,2025-06,68.42
108,2025-06,157.95
109,2025-06,172.73
110,2025-06,130.13
111,2025-06,110.73
112,2025-06,121.61
113,2025-06,70.4
114,2025-06,170.95
115,2025-06,113.77
116,2025-06,63.44
117,2025-06,175.66
118,2025-06,141.1
119,2025-06,126.0
120,2025-06,88.77
121,2025-06,141.47
122,2025-06,62.31
123,2025-06,166.06
124,2025-06,151.06
125,2025-06,143.73
126,2025-06,124.54
127,2025-06,97.68
128,2025-06,165.58
