customer_id,month,revenue
1,2025-06,145.07
2,2025-06,129.94
3,2025-06,93.02
4,2025-06,91.26
5,2025-06,163.92
6,2025-06,93.56
7,2025-06,125.54
8,2025-06,92.31
9,2025-06,71.68
10,2025-06,92.33
11,2025-06,103.04
12,2025-06,109.51
13,2025-06,91.0
14,2025-06,98.39
15,2025-06,93.24
16,2025-06,72.58
17,2025-06,70.64
18,2025-06,77.98
19,2025-06,157.88
20,2025-06,154.21
21,2025-06,131.65
22,2025-06,108.72
23,2025-06,126.31
24,2025-06,139.52
25,2025-06,133.92
26,2025-06,105.46
27,2025-06,64.93
28,2025-06,95.65
29,2025-06,107.82
30,2025-06,140.76
31,2025-06,173.93
32,2025-06,150.9
33,2025-06,150.43
34,2025-06,125.76
35,2025-06,107.4
36,2025-06,102.35
37,2025-06,131.03
38,2025-06,67.39
39,2025-06,61.61
40,2025-06,165.89
41,2025-06,149.39
42,2025-06,73.86
43,2025-06,115.05
44,2025-06,121.95
45,2025-06,85.39
46,2025-06,76.01
47,2025-06,132.12
48,2025-06,177.61
49,2025-06,149.79
50,2025-06,164.27
51,2025-06,173.28
52,2025-06,69.65
53,2025-06,99.68
54,2025-06,144.48
55,2025-06,176.07
56,2025-06,147.35
57,2025-06,94.03
58,2025-06,96.52
59,2025-06,97.18
60,2025-06,110.84
61,2025-06,110.27
62,2025-06,71.07
63,2025-06,160.6
64,2025-06,107.79
65,2025-06,85.43
66,2025-06,129.83
67,2025-06,103.91
68,2025-06,66.15
69,2025-06,88.98
70,2025-06,143.68
71,2025-06,80.71
72,2025-06,118.71
73,2025-06,174.29
74,2025-06,83.01
75,2025-06,61.52
76,2025-06,80.96
77,2025-06,157.15
78,2025-06,150.27
79,2025-06,164.04
80,2025-06,151.22
81,2025-06,121.8
82,2025-06,82.44
83,2025-06,150.01
84,2025-06,172.63
85,2025-06,109.38
86,2025-06,124.49
87,2025-06,88.24
88,2025-06,147.17
89,2025-06,62.22
90,2025-06,77.45
91,2025-06,111.73
92,2025-06,128.18
93,2025-06,168.94
94,2025-06,68.41
95,2025-06,170.42
96,2025-06,129.83
97,2025-06,68.15
98,2025-06,119.0
99,2025-06,114.57
100,2025-06,156.13
101,2025-06,154.15
102,2025-06,83.2
103,2025-06,143.79
104,2025-06,140.37
105,2025-06,91.15
106,2025-06,108.9
107,2025-06,66.54
108,2025-06,158.15
109,2025-06,175.72
110,2025-06,132.67
111,2025-06,113.23
112,2025-06,122.08
113,2025-06,68.23
114,2025-06,172.82
115,2025-06,114.34
116,2025-06,66.14
117,2025-06,173.93
118,2025-06,141.57
119,2025-06,124.35
120,2025-06,88.23
121,2025-06,140.46
122,2025-06,64.08
123,2025-06,168.82
124,2025-06,153.67
125,2025-06,143.55
126,2025-06,124.98
127,2025-06,100.24
128,2025-06,164.64
129,2025-06,152.91
130,2025-06,110.34
131,2025-06,170.5
132,2025-06,123.13
133,2025-06,75.47
134,2025-06,165.76
135,2025-06,141.42
136,2025-06,153.49
137,2025-06,137.56
138,2025-06,76.57
139,2025-06,162.04
140,2025-06,178.37
141,2025-06,74.41
142,2025-06,166.76
143,2025-06,69.27
144,2025-06,58.39
145,2025-06,88.76
146,2025-06,117.3
147,2025-06,176.55
148,2025-06,81.31
149,2025-06,171.44
150,2025-06,81.99
151,2025-06,173.61
152,2025-06,105.58
153,2025-06,87.58
154,2025-06,147.73
155,2025-06,182.34
156,2025-06,151.33
157,2025-06,103.24
158,2025-06,87.98
159,2025-06,158.09
160,2025-06,124.54
161,2025-06,136.28
162,2025-06,82.26
163,2025-06,125.27
164,2025-06,105.79
165,2025-06,168.42
166,2025-06,92.86
